name,comp,chara,main_bene,adap_ill,usage,pre_cares
猫头鹰,解毒，定惊，去风湿。,,,1、治鼠疮（淋巴结结核）：猫头鹰1只，烧吃。,['内服：煮食，50-100g；烧研入散，5-10g：或浸酒。'],[]
枸杞,滋补肝肾，益精明目。,肝肾阴虚及早衰证：本品能滋肝肾之阴，为平补肾精肝血之品。,枸杞子对免疫有促进作用，同时具有免疫调节作用；可提高血睾酮水平，起强壮作用；对造血功能有促进作用；对正常健康人也有显著升白细胞作用；还有抗衰老、抗突变、抗肿瘤、降血脂、保肝及抗脂肪肝、降血糖、降血压作用。,1、治肝肾不足，眼生花歧视，或干涩眼痛：枸杞子、菊花、熟地黄、山萸肉、茯苓、山药、丹皮、泽泻。为末，炼蜜为丸。每服二、三钱，温水下。（《医级》杞菊地黄丸）,['内服：煎汤，5-15g；或入丸、散、膏、酒剂。'],['脾虚便溏者慎服。']
龙骨,镇惊安神，平肝潜阳，收敛固涩。,1、用于心悸怔忡，失眠健忘，惊痫癫狂，头晕目眩，自汗盗汗，遗精遗尿，崩漏带下，久泻久痢，溃疡久不收口及湿疮。 2、西医诊为高血压病、失眠、癫痫、躁郁精神病、精神分裂症等属肝阴不足，肝阳上亢者，遗精、遗尿、功能性子宫出血等属正虚不固者。,1、对中枢神经系统的影响：有镇静、催眠和抗惊厥作用，并可抑制骨骼肌的兴奋性其抗惊厥作用与铜、锰元素的含量有关。 2、对血液系统的影响：龙骨含有大量钙离子，故能促进血液凝固，降低血管通透性。,1、龙骨配珍珠母：龙骨和珍珠母质地重坠，均归心、肝两经。珍珠母味咸性凉，既能清心除热，又能镇心安神；既有清肝火之力，又有潜肝阳之功。龙骨味涩性凉，镇惊宁神之效尤为明显，并有收敛上浮之肝阳的作用。两药配对，可增强镇心安神，平肝潜阳两方面的作用。尤以宁神之功见长，适用于邪气凌心、神不内守而见心悸怔忡，惊狂烦躁，失眠健忘，神昏谵语等；也适用于肝阳上亢所致的头目眩晕，目赤，耳鸣，心烦易怒等。,['内服：煎汤，10-15g；打碎先煎；或入丸、散。外用：适量，研末撒；或调敷。安神、平肝宜生用，收涩、敛疮宜煅用。'],['湿热积滞者慎服。']
黄芪,健脾补中，升阳举陷，益卫固表，利尿，托毒生肌。,1、脾气虚证：本品甘温，善入脾胃，为补中益气要药。因其能升阳举陷，故长于治疗脾虚中气下陷之久泻脱肛，内脏下垂。本品既能补脾益气，又能利尿消肿，标本兼治，为治气虚水肿之要药。本品又能补气生血，治血虚证亦常与补血药配伍。对脾虚不能统血所致失血证，本品尚可补气以摄血。对脾虚不能布津之消渴，本品能补气生津，促进津液的生成与输布而有止渴之效。 2、肺气虚证：本品入肺又能补益肺气，可用于肺气虚弱，咳喘日久，气短神疲者，常与祛痰止咳平喘之品配伍。 3、气虚自汗证：脾肺气虚之人往往卫气不固，表虚自汗。本品能补脾肺之气，益卫固表。 4、气血亏虚，疮疡难溃难腐，或溃久难敛：本品以其补气之功还能收托毒生肌之效。 5、痹证、中风后遗症等气虚而致血滞，筋脉失养，症见肌肤麻木或半身不遂者，亦常用本品补气以行血。,1、对免疫系统的影响：黄芪及其多糖等成分可明显提高非特异性免疫功能；对体液免疫、细胞免疫等均有促进或增强作用；对干扰素系统有明显的刺激作用，具有自身诱生和活性挥发等功效。 2、对细胞代谢的影响：黄芪能明显延缓人胚二倍体细胞自然衰老过程，能延长细胞寿命1/3左右；在高浓度时对体外培养健康人淋巴细胞有丝分裂有抑制作用，而低浓度时则有促进作用。 3、对心血管系统的影响：黄芪皂苷50-200μg/ml对心有正性肌力作用，30μg/ml呈负性肌力作用；黄芪具有降压作用。 4、抗菌作用：黄芪对志贺氏痢疾杆菌、炭疽杆菌、α-溶血性链球菌、β-溶血性链球菌、白喉杆菌、假白喉杆菌、肺炎链球菌、金黄色葡萄球菌、柠檬色葡萄球菌、白色葡萄球菌和枯草杆菌等有抗菌作用。 5、抗病毒作用：黄芪注射液对流行性出血热病毒的感染过程有一定的阻断作用。黄芪在相当浓度下有抑制病毒的作用，包括艾滋病病毒。黄芪水煎剂具有直接灭活病毒作用，且可抑制感染病毒后的细胞病变，可直接抑制水痘-带状疱疹病毒，对正在复制的病毒具有生长抑制作用。 6、对血液系统的影响：黄芪煎剂对乙酰苯肼造成溶血性血虚动物细胞压积降低，血液比黏度降低，红细胞电泳率减少，电泳时间延长等均有改善作用。 7、对泌尿系统的影响：黄芪注射液具有保肾的作用；黄芪有中等利尿作用。 8、对糖代谢的影响：黄芪多糖具有双向调节血糖的作用。 9、此外，黄芪尚具有抗衰老、抗突变、保肝、抗疲劳、抗缺氧、抗寒、抗辐射、抑瘤、抗肺动脉高压、镇静、镇痛、增智、抗炎、激素样作用等。,1、黄芪配人参：黄芪长于补气升阳，益卫固表，偏于温补固护；人参善于大补元气生津止渴，偏于滋补强壮。两药配伍，相须为用，为甘温补气的重要配伍。适用于气虚所致神疲、食少、自汗等身体虚弱诸证。,['内服：煎服，10-20g，大剂量30-60g。固表止汗、托疮排脓、生肌敛疮、利水退肿宜生用，补脾益气升阳宜炙用。'],['凡表实邪盛，疮疡初起，或溃后热毒尚盛者，均不宜用。']
萆薢,利湿去浊，祛风除痹。,1、主要用于膏淋，白浊，风湿痹痛，遗精，湿热疮毒，湿疹等。 2、西医诊为精囊炎、泌尿系感染、风湿性关节炎、痛风性关节炎、类风湿性关节炎、乳糜尿、接触性皮炎属于湿盛者。,萆薢有抗菌、抗真菌、抗动脉粥样硬化、雌激素样作用。,1、萆薢配益智仁：萆薢长于分清别浊；益智仁既能补肾固精缩尿，又能温脾止泻摄唾。二药配用，萆薢以分利为主，益智仁以固涩为要，一利一涩，相互制约，共奏固下元、利小便、去湿浊之功。适用于肾虚而见小便频数而少、浑浊不清、淋漓不畅，妇女带下诸证。,['内服：煎汤，10-15g；或入丸、散。'],['肾阴亏虚遗精滑泄者慎用。']
合欢皮,解郁安神，活血消肿。,主要用于心神不宁，忿怒忧郁，烦躁失眠，跌打损伤，筋断骨折，血瘀肿痛以及肺痈、疮痈肿毒等。,1、对中枢神经系统的影响：合欢皮能延长戊巴比妥钠睡眠时间。 2、对生殖系统的影响：合欢皮能增强妊娠子宫的节律性收缩，并有终止妊娠抗早孕效应。 3、其他作用：能增强免疫功能，有抗肿瘤作用。,1、合欢皮配白芍：合欢皮有解郁和血，宁心安神之功；白芍味酸入肝，善于养血柔肝，使肝体得濡，肝用恢复正常，则肝气条达。两药配对，有益血和血、柔肝养心、定魄安神之功，能使精神欢畅、喜悦无比。适用于肝气郁结心神不宁而致的神情抑郁，焦虑恍惚，烦躁失眠等。,['内服：煎汤，10-15g；或入丸、散。外用：研末调敷。'],"['1、味甘性平，功善解郁安神。心神不安、虚烦失眠等神志异常由痰热等其他因素所致者，须适当配伍，不宜单味药服用。', '2、有降低血压的作用，低血压患者不宜大量应用，尤其是合欢缩宫素注射剂应慎用。', '3、有明显的兴奋子宫平滑肌的作用，妊娠期慎用，合欢缩宫素注射剂禁用。', '4、合欢皮所含山合欢皂苷E有杀伤精子的作用。青年男性不宜大量长期服用。']"
桑叶,疏散风热，清肺润燥，平抑肝阳，清肝明目。,1、风热感冒，温病初起：本品甘寒质轻，轻清疏散，虽疏散风热作用较为缓和，但又能清肺热、润肺燥，故常用于风热感冒，或温病初起，温热犯肺，发热、咽痒、咳嗽等症。 2、肺热咳嗽，燥热咳嗽：本品苦寒清泄肺热，甘寒凉润肺燥，故可用于肺热或燥热伤肺，咳嗽痰少，色黄而黏稠，或干咳少痰、咽痒等症。 3、肝阳眩晕：本品苦寒，兼入肝经，有平降肝阳之效，故可用治肝阳上亢，头痛眩晕，头重脚轻，烦躁易怒者。 4、目赤昏花：本品既能疏散风热，又苦寒入肝能清泄肝热，且甘润益阴以明目，故常用治风热上攻、肝火上炎所致的目赤、涩痛、多泪。 5、本品尚能凉血止血，还可用治血热妄行之咳血、吐血、衄血，宜与其他凉血止血药同用。,鲜桑叶煎剂体外试验对金黄色葡萄球菌、乙型溶血性链球菌等多种致病菌有抑制作用，煎剂有抑制钩端螺旋体的作用。对多种原因引起的动物高血糖症均有降糖作用，所含脱皮固酮能促进葡萄糖转化为糖原，但不影响正常动物的血糖水平。脱皮激素还能降低血脂水平，对人体能促进蛋白质合成，排除体内胆固醇，降低血脂。,1、桑叶配菊花：二药皆能疏散风热，平肝，清肝明目。二者常相须为用，治疗风热表证或温病初起，肝阳上亢之头痛眩晕，风热上攻或肝火上炎的目赤肿痛。,['内服：煎服，5-9g；或入丸散。外用：煎水洗眼。'],['尚不明确。']
苍术,燥湿健脾，祛风散寒。,1、湿阻中焦证：本品苦温燥湿以祛湿浊，辛香健脾以和脾胃。对湿阻中焦，脾失健运而致脘腹胀闷，呕恶食少，吐泻乏力，舌苔白腻等症，最为适宜。 2、风湿痹证：本品辛散苦燥，长于祛湿，故痹证湿胜者尤宜。 3、风寒挟湿表证：本品辛香燥烈，能开肌腠而发汗，祛肌表之风寒表邪，又因其长于胜湿，故以风寒表证挟湿者最为适宜。 4、本品尚能明目，用于夜盲症及眼目昏涩。,其挥发油有明显的抗副交感神经介质乙酰胆碱引起的肠痉挛；对交感神经介质肾上腺素引起的肠肌松弛，苍术制剂能促进肾上腺抑制作用的振幅恢复，苍术醇有促进胃肠运动作用，对胃平滑肌也有微弱收缩作用。苍术挥发油对中枢神经系统，小剂量是镇静作用，同时使脊髓反射亢进；大剂量则呈抑制作用。苍术煎剂有降血糖作用，同时具排钠、排钾作用；其维生素A样物质可治疗夜盲及角膜软化症。,1、苍术配羌活：苍术辛香燥烈，能开肌腠而发汗，祛肌表之风寒表邪，又长于胜湿；羌活善于升散发表，有较强的解表散寒，祛风胜湿之功。两药伍用，增强发表胜湿之功，故以风寒表证挟湿者最为适宜。,['内服：煎服，5-10g。'],['阴虚内热、气虚多汗者忌用。']
良姜,散寒止痛，温中止呕。,1、胃寒冷痛：本品辛散温通，能散寒止痛，为治胃寒脘腹冷痛之常用药。 2、胃寒呕吐：本品性热，能温散寒邪，和胃止呕。,本品水提取物具有镇痛抗炎作用，醚提物只有镇痛作用，二者均能抗动物实验性胃溃疡的形成及蓖麻油引起的腹泻，还能延长断头小鼠张口动作持续时间和氰化钾中毒小鼠的存活时间；煎剂灌胃能升高犬胃液总酸排出量，兴奋兔离体肠管运动，对抗因阿托品所致小鼠胃肠抑制后的墨汁推进率；采用体内血栓形成法，给大鼠灌胃高良姜水提物或挥发油均有抗血栓形成的作用；100%煎液对炭疽杆菌、α-或β-溶血性链球菌、白喉及类白喉杆菌、肺炎球菌、金黄色葡萄球菌、白色葡萄球菌等革兰阳性嗜气菌皆有抗菌作用。,1、高良姜配荜茇：高良姜辛热温散，以温胃散寒止痛为主，兼能温胃止呕；荜茇辛热，偏走胃肠，能温胃腑痼冷，又解大肠寒郁，善于温中散寒，下气开郁，止呕止痛。两药配伍，可增强温胃散寒，止痛止呕的作用。适用于胃寒胃痛、呕吐等。,['内服：煎服，3-6g。研末服，每次3g。'],['阴虚有热者禁服。']
黑芝麻,补益精血，润燥滑肠。,主要用于须发早白，头晕眼花，妇女产后乳少，风痹，血虚津枯，肠燥便秘等。,1、抗衰老作用：黑芝麻可使衰老现象推迟发生，肝脏和睾丸中脂褐质水平降低，而血浆中维生素E含量增高。 2、抑制肾上腺皮质功能：黑芝麻油0.2mg/100g，可增加肾上腺中维生素C及胆甾醇的含量，肾上腺皮质功能受到某种程度的抑制。 3、降血糖作用：黑芝麻种子提取物，可降低血糖，并增加肝糖元及肌糖元含量，但大剂量应用则降低糖元含量。 4、兴奋子宫的作用：黑芝麻全草水提取物对子宫有兴奋作用。 5、消炎的作用：新鲜灭菌的麻油涂布皮肤黏膜，有减轻刺激、促进炎症恢复等作用。 6、降胆固醇的作用：所含亚油酸可降低血中胆固醇含量。 7、此外，黑芝麻油有增加血细胞容积倾向、滋养、通便、抑制不饱和脂肪酸酶、芝麻素对不饱和脂酸酶有抑制作用。,1、黑芝麻配何首乌：黑芝麻甘润而平，长于补益肝肾，益精养血；何首乌甘涩微温，善于补益精血，固肾乌发。两药配伍，可增强补益肝肾，固肾乌发的作用。适用于肝肾不足，精血亏虚引起的须发早白，腰膝酸软，头晕耳鸣，夜尿频多等。,['内服：煎汤，9-15g；或入丸、散。外用：煎水洗浴或捣敷。'],['脾弱便溏者勿服。']
